赵一濛(千丈松)(00:03:18): Hello, Mike? 

孙正刚Marc(00:03:20): 对我对我把我女儿名字改改。当时偶像还是谁？
孙正刚Marc(00:07:22): 我回来了，他那个1010六月十一12号会有一个上海的国资开发商来悉尼，我这边会简单接待一下，他们只在悉尼待两天，其他就去墨尔本，还有新西兰了。

李磊(00:07:35): 现在那一共看5分，反正那咱就是6月1号去还是30号31号出发？

赵一濛(千丈松)(00:07:45): 都可以。

李磊(00:07:47): 那咱就暂定31号或者咱看一下31号或者1号哪天有直飞的航班。

赵一濛(千丈松)(00:07:54): 行。

孙正刚Marc(00:07:58): 现在暂定是5月31号你们飞？

李磊(00:08:01): 3月1号或者1号飞一会，我们晚点查一下航班。

孙正刚Marc(00:08:04): 后11号回，然后行先那对就无非就是时间地点人物吗？地点就先来悉尼？

李磊(00:08:15): 对那根据悉尼是不是爸爸你你是在悉尼？

孙正刚Marc(00:08:19): 因为我在悉尼。

李磊(00:08:22): 那就直接分析你！

孙正刚Marc(00:08:24): 对你们直接来悉尼就最最方便，这样的话能第一时间见到我。

李磊(00:08:29): 对。

孙正刚Marc(00:08:31): 这次确定下来几个人吗你们？

李磊(00:08:36): 我一濛然后我还有一个同事是三位吧，因为一濛你那边还有其他人吗？

赵一濛(千丈松)(00:08:42): 目前没有。

孙正刚Marc(00:08:44): 三位那对因为我还要看去看对三位行，那时间地点人物差不多确认下来，剩下的就是把咱们的行程总总总体来说帮你们整理一下，然后看看，因为我上次听你们说是雷雷总这边是想是悉尼墨尔本，布里斯班三个大主要三个大城市全去的？

李磊(00:09:10): 对咱们直接就都去都转一圈，因为晚上就看的彻底一点。

孙正刚Marc(00:09:17): 悉尼跟墨尔本，然后加布里斯班好的，然后时间安排上次好像说是可以久一点也可以短一点，那现在大约有没有想法了？

李磊(00:09:28): 对我们可以只买去的，只可以只买去程返程再说。

孙正刚Marc(00:09:35): 时间那你你也得考虑一下咱们一濛。

李磊(00:09:38): 我一般出去都是只买汽车对。一博一博一博主要是错开你家待会的时间吧！

孙正刚Marc(00:09:50): 对。

赵一濛(千丈松)(00:09:50): 我没事，我们这事优先吧，因为这事那个雷哥说的很清楚，要做，我肯定我们就要 all in 去做这件事情，所以我们还是以这个整体的优先级为最最大的就想重点其实时间是一方面，但是时间也很重要，主要还是咱们此行的那个行程目的和想达到的效果，如果能有的话，其实最好，因为那个 mark1直很帮忙嘛，其实我们也很伤心，但是去一趟都不容易，我就想去之前那个虽然说这个肯定要老去吧，但是去之后我们各自哪怕在远程的情况下也能快速的去。

李磊(00:09:58): 对。

赵一濛(千丈松)(00:10:27): 去那个 coworking 去做起来，我觉得可能是我们想达到的效果，比如说我这边，我就准备了一些包括中间件什么的，雷哥也准备中间件，那行程里面我们甚至可以有那半天一天自己盘一盘。

李磊(00:10:32): 对。

赵一濛(千丈松)(00:10:42): 也不用说见完客户就走。

李磊(00:10:44): 是的。

孙正刚Marc(00:10:48): 这样的话，对因为里边会涉及到一些公司的参访，或者是跟些人见面沟通，本来是以为你们会5月中旬来，所以就跟他们说，你们之前打了招呼，说是5月中旬留点时间来，现在的话没关系，再根据你们的时间做调整，所以现在确定下来，基本上就5月31号六或6月1号就反正就把时间再往后顺延两顺延到6月份。

李磊(00:11:15): 对。

孙正刚Marc(00:11:17): 行时间到6月份。OK 行，那我把行程再重新调整一下也行，这样的话至少避开了我家里人来吸，你本来说好了没关系，反正本来说好了是前两天我陪他们玩玩，然后等你们来了，我就不陪他们了。

李磊(00:11:37): 对因为我突然有个事，我给忘了我30号我弟弟结婚这事我给忘了对，所以我给你蒙一点对，所以就是因为30号之前时间太太紧了，那就说31号或者1号可以出发，因为我看飞到新也就1011个小时吧。

孙正刚Marc(00:11:42): 那就肯铁定了，是6月份了？

孙正刚Marc(00:11:57): 111213看你从哪里发出发了？

孙正刚Marc(00:12:02): 因为他你他还没算时差嘞。

李磊(00:12:05): 对在飞机上的时间规定那么久。

孙正刚Marc(00:12:09): 差不多13个小时也挺累的。

李磊(00:12:14): 就挺累的，去一趟多待透彻一点。

孙正刚Marc(00:12:20): 对主要是需要把你们这些感兴趣的点，然后很多潜在的合作方或者甚至是可在的潜在的客户，全部都梳理一下。

孙正刚Marc(00:12:33): 目前来说的话已经有，但是就是时间上就来回回扯了一咱们已经来回回扯好久了，所以有些人已经不耐烦了。

李磊(00:12:45): 不好意思，因为这之前可能直接。

孙正刚Marc(00:12:47): 没事也能理解，就是确实是因为有些事说起来也挺复杂的，比如说怎么一蒙的关系，雷总的关系，其实这也不重要的就是说国内有一家企业可能想要来澳洲做一些落地的事情，把这些潜在的合作的机会以及一些。就是我能理解的范围内的优势，甚至劣势我都会帮他们分析一下，又有一些可能潜在的合作机会，或者说潜在的直接版本，把产品卖给他们的机会都有的。

孙正刚Marc(00:13:21): 当然你们来会更好，就有些话，因为有些话我从我嘴巴里面说已经打折了几分了，你们来的话就是基本上就能把这些话撑满就是好，能做，不能做的你们都能很专业的去分析，去给他们传输这些东西。

孙正刚Marc(00:13:41): 我现在就得重新跟你们去沟通，看看这些企业都因为这些企业得重新跟他们确认时间，我就得。6月份看6月份的缺点是什么？我们6月是整个财年的最后一个月，所以会有一些公司老板或者说公司会很忙，可能也就见你们的机会就或时间会比较紧。

孙正刚Marc(00:14:09): 对因为大家都要把不就他上次也说了，就像那个链家贝壳年底冲刺一样，他们总归要把一些事情去梳理一下，然后去整理一下，把一些坑给填一填，把一些业绩给补一补。

李磊(00:14:24): 明白明白。

孙正刚Marc(00:14:26): 对，所以我们现在的话就是我这边能做的在力所能及的范围内，然后在有限的时间内把咱们这个行程再重新再梳理一下，是你们回程不算的话，那其实咱们去哪个城市都得。也不确定，因为你行程其实是比较随机的。

李磊(00:14:49): 其实就因为我觉得这样相当于咱安排起来，现在好安排嘛，甚至说在一个，比如说举个例子说在悉尼完事再去一个墨尔本，我不知道，因为我不知道那个远远不远，墨尔本完之后发现还要回悉尼，那我们就再回。

孙正刚Marc(00:15:01): 每两三个城市的距离差不多都差不多，你如果从悉尼开车到墨尔本，大约就8.10个小时，从悉尼开车到布里斯班，他差不多是8.10个小时，咱们也不会开车，一般要如果去的话也坐飞机去的。

李磊(00:15:11): 对。

孙正刚Marc(00:15:22): 就是有什么期望值，对先像一濛来过一次，就是对这些采访企业的期望，或者说比较有意向想建的公司是哪一种？

李磊(00:15:38): 像咱们也大概做赵一濛你先说。

赵一濛(千丈松)(00:15:38): 我那个那种。你先说我你我一会再说。

李磊(00:15:48): 那我说这上咱们大概也可能沟通过一次就是高大上的企业也好，或者从业企业也好，就是 ruck 你看你哪，你熟悉哪些就帮我们介绍或者安排一下，然后剩下留一点点时间，可能我想去自己转一转，或者看一些很小的企业，就是也不是小企业吧，就是真正就是那种，偏偏中小型的，因为因为我觉得大型客户我不知道，因为大型客户是不是成交周期，或者等等这些会长一点，我觉得就大中小能看都，但是小的可能是不是就随机性会更强？

孙正刚Marc(00:16:25): 确实是大中小每家公司的需求跟他们的实际情况都不一样的，确实是我也明显感觉到了对，而且我最近是因为我在悉尼，所以。

李磊(00:16:35): 对。

孙正刚Marc(00:16:43): 主要是以悉尼为主，墨尔本布里斯班那边也是得托关系，没有直接的那种就是合适的公司企业，所以托了些关系，找了一些可能潜在的一些我们可以采访的公司。

李磊(00:16:58): 然后布里斯班我可以让我那个同事，因为我有个同事跟我去，就是我也可以让他在那边找一找人，因为他在那边待过几年。

孙正刚Marc(00:17:05): 最好我觉得大家就是每个人就是有这层关系都用起来，因为我也明显感觉到这个压力挺大的，因为你在我在悉尼吧，至少有一些人脉人际关系，人家觉得墨尔本跟布里斯班那边纯粹就是得托关系了。

李磊(00:17:24): 这没人，那布里斯班我让他去找一找。包括。

孙正刚Marc(00:17:28): 对布里斯班这边对你他那边有一些渠道的话或是关系，那最好了，这样的话还能省很多时间。

李磊(00:17:36): 嘿，那我让他去联络。

孙正刚Marc(00:17:39): 对的，刚好让他联络，就知道这个事情会有些思路的，然后他的一些思路可能对我来说也会有帮助。

李磊(00:17:48): 明白，那我就明天到公司，明天我明天给他打个电话，到时候咱拉个群，咱遇到有什么事在群里直接通过文字的方式或者语音的方式这样，所以随时想到什么咱就发到群里，这样可能对接起来会更快。

孙正刚Marc(00:18:01): 对整反对，反正客户的镜像都差不多，反正我跟布里斯班那边人沟通了一下，发现也差不多，主主要就是一些关系上远近的这远近关系就是你这个信任度上。

李磊(00:18:05): 明白。像这次可能你更熟悉，还是华人企业说当地企业说都有？

孙正刚Marc(00:18:21): 主要以华人为主，因为我们自己这边分工也比较明细，老外混老外犹太人混犹太人，华人混华人多一点。

李磊(00:18:23): Ok. 明白。明白了 OK 那可以那边像你知道那边建行在那边做的怎么样吗？他那边对我们这次学生建行会有帮助吗？他悉尼分行。

孙正刚Marc(00:18:36): 这样好。建行，我想看我建行。

李磊(00:18:45): 没事就是就你如果觉得深圳如果觉得悉尼建行对我们可能会帮助待会让他们行长安排一下可以，因为我看一下好像有个国内人，他们调过去到那边去当行长去了。

孙正刚Marc(00:19:02): 也有中国国内四大银行其实在海外都影响力蛮大的，其实他们这些老总都是整天呼朋唤友，各打混各种圈子的，他们其实有很大帮助的。

李磊(00:19:16): 那我到时候我也跟他们联络一下，我们现在大概定完之后让他们来兜底，比如说有些如果主要是华人企业，他想拿钱的话，建行可能还会跟他们有一些业务吧，或者没有业务，他们应该客情还可以，有些那不让他们忙。

孙正刚Marc(00:19:17): 对。

孙正刚Marc(00:19:29): 对华人企业跟新人企业的区别是，就是华人企业基本上能给面子新人企业有可能就说我没空，我没时间，而且对我们对中国市场也现在也没什么合作关系可能不会给面子很直白的告诉你，我没空见你。

李磊(00:19:45): 明白说我突然想到银行，他们能认识不少人，他们就是反正有没有业务，反正他们反正有经历，有客情。

孙正刚Marc(00:19:51): 对他们。他们长袖善舞的厉害，他们身边认识的人其实三教九流啥都有，我们像我对像我们在这个行业里面可能熟悉这个行业多一点，他们是啥行业都熟悉。

李磊(00:20:01): 是的。是行，那我知道，那这个到时候我跟他们也联系一下，他们看看可以。

孙正刚Marc(00:20:11): 对反正我的建议是既然来了嘛，就是身边有一些资源能用，用起来刚好也来拜访一下嘛，这都对未来发展没什么坏处的，那如果行程确定下来，那其实就开始慢慢的就要把一些就是一些公司的明细对接人什么的就可以慢慢的往上，我开始去落地了。

李磊(00:20:17): That's all. 对。

孙正刚Marc(00:20:36): 再多问一句，这次是确定了，别到时候又要往后延。

李磊(00:20:42): 现在不对确定，然后咱定好那天晚点我跟明天跟一模再对一下具体的时间我们把机票一买机票买完之后不就不会变了吗？

孙正刚Marc(00:20:53): 对因为因为你们每每个人其实都有自己的事情的，我其实你们就忽然间被被被叫停，打断了，我也非常理解，所以我这边就是只能顺着你们的时间来做了。

李磊(00:21:07): 所以这次这个这次不会变了，我们把票买完，你再开始跟大家预约，反正我明天后天就把票一买，买完之后你不就好约了吗？这样就确定性就强了。

孙正刚Marc(00:21:16): 对的你们再狠一点，再买一个不可退的。

李磊(00:21:22): 没问题。

孙正刚Marc(00:21:25): 开玩笑，你们自己定这边的话买了票之后行程差不多定下来，基本上就要把人家时间定下来了，否则到时候一就换了好几回，其实很多人的耐心配合度就越来越差了。

李磊(00:21:39): 明白是的。

赵一濛(千丈松)(00:21:40): 对这事儿，虽然比如说刚才磊哥一直是觉得不想给你，让你觉得很有压力，我是觉得出于对所有人负责，对 mark 对李磊对咱们所有人，包括合作伙伴还是希望能比如说见了都能成一些事情的。

赵一濛(千丈松)(00:21:55): 前面其实也没有浪费，然后因为我跟李磊在北京一直对他也做了很多那个基础架构，就上次开会之后说那个基础架构，然后大的思路还是说那个后面那个很多迭代，其实国内有些支持，然后本地也能快速交付。

赵一濛(千丈松)(00:22:11): 这样其实要么不启动，一启动，咱就快速的 deliver 这些东西。

孙正刚Marc(00:22:17): 所以，因为这里边其实涉及的东西很多的就是所以方方面面吧，比如说一些什么，你们要真想来是不是还要了解一些什么，当地的法规，一些乱七八糟这些东西是否需要安排都得跟你们沟通好的。

李磊(00:22:33): 法规那些我觉得不需要对 And. 对因为我就先干，对干干到一定体量，然后再搞法规问题。

孙正刚Marc(00:22:35): 不需要就 OK，那就不需要安排。因为上次也沟通过，你们也给我的回馈是不需要，那我觉得不需要也没事，反正你们有。明白。

李磊(00:22:48): 对要上面上门，因为有时候上来就考虑合规，但有一些比如像这个，比如说我们涉及到金融交易资金这些合规肯定要遵循当地的合规，但是业务上的合规嘛。就业务上的合规，我们就通过业务口径去了解经营层面的合规，我觉得咱先不考虑。

孙正刚Marc(00:23:07): 喂理解。

孙正刚Marc(00:23:12): 反正最近的澳洲的变化是就是随着一些政策导向吧，我整体的经济能感觉到有点下滑了，开始就是物价涨上去了，然后房价开始慢慢往下走了，整个贷款的贷款利息也涨了，物价这个东西，反正当地包括建筑成本什么的，对于我们房地产行业还是影响比较大的。

李磊(00:23:40): 明白。

孙正刚Marc(00:23:42): 当然你咱们策略是以卖软件为主，那其实也好，能降本增效，给他们节省点钱也是好事。

孙正刚Marc(00:23:54): 这次来主要还是考虑一些软件的推广，以及就是跟当地的。行业相对接，匹配度高一点的。

李磊(00:24:08): 对，然后也同时这个因为这是一个切入点，然后也现在边聊边去，大概再深入了解一下当地他可能还有哪些潜在的需求，或可能有哪些可能潜在的机会点。

孙正刚Marc(00:24:19): 对。

李磊(00:24:20): 但我觉得大部分来讲是重资产，我们先不做，就是很多名，在当地买地的时候，这些太重的不做，先从轻的切入完之后再考虑是不是要做重的跟投资，因为我觉得重投资这个事情是需要非常谨慎的去做的。

孙正刚Marc(00:24:22): 我明白。非常认同我跟一濛之前也讨论过了反反正不管别人的期望值如何，我们自己其实对我们也认可一个道理，就是说先以轻资产进入这个市场，这样的话就对先试试水试试，如试试错也不会有太大损失。

李磊(00:24:45): 因为你不做重资产，你的损失就是百万级至多是千万级做重资产那一下就是几千1000美金可能就没掉了。

孙正刚Marc(00:24:52): 对我自己也是这么打，就是跟也是也会这么劝你们的千万不要脑子一热，因为澳洲的水也不浅的。

李磊(00:25:06): 对。是的，人家市场还是敬畏一点市场。

孙正刚Marc(00:25:18): 对这还是要敬畏一下当地市场的，然后咱们华人的公司，其实有我们还真的反向学习，向印度人学习。

孙正刚Marc(00:25:30): 对澳洲有几家印度公司做的这些软件做的还不错的，对的，我刻意去关注了他们一下，也跟他们递橄榄枝来着，然后人家理都不理，邮件也不回。

李磊(00:25:34): 明白。没事看我们就在那边开始先今天约着看！

孙正刚Marc(00:25:50): 我今天开会主要是跟大家把时间确认一下，然后基本上你们的其实咱们已经开了几次会了，就基本上我对你们的一些需求，时间点上人来的人员大大约都已经有了解，只是真要来的话，我们就要把细节再确认一下了。

孙正刚Marc(00:26:10): 对因为你们我相信来了，天数也不会太久，我估计你们可能每个城市待个5天，我估计已经很夸张了吧。33515。

李磊(00:26:25): 我15天也就了解的差不多了。

孙正刚Marc(00:26:26): 差不多两周吧！然后到时候再看，等你们行程确定好了之后，我再看看我这边的行程，因为我大概率的话，我还是想能陪陪着多陪着，但是如果说是有些地方或有些时间我来不及，我也得跟你们说清楚。

李磊(00:26:44): 对这没事，大家看你那边的时间就是能帮我们去安排跟介绍就好了，然后剩下的也因为你毕竟那边还有很多自己的事情嘛。

孙正刚Marc(00:26:54): 是，所以我就等你们这，然后你们时间确认好之后，我就赶紧可以把我自己的行程把时间安排一下，我6月份我想看还有什么问题，我先看看6月份的假期的这个事情，因为如果假期也会影响很多大概率6月份少，因为6月份是比较重要的一个月，所以假期公共假期会比较少的，我看一眼。

孙正刚Marc(00:27:19): 6月几乎没有假期，挺好的。

李磊(00:27:27): 不太好。

孙正刚Marc(00:27:29): 挺好的，基本上来了就忙活！

孙正刚Marc(00:27:36): 目前咱们在东南亚那边好像进展的还可以，上次听一濛说你咱们全方通在东南亚那边做的好像有起色了。

李磊(00:27:46): 现在就最近这一段时间开始有起色了，因为这也是我们对市场之前的敬畏度不够，之前总想快速开单，后来发现三个月开单算快的，就他那个主体。

孙正刚Marc(00:27:57): 那他们现在的成交客户基本上什么背景，什么画像？

李磊(00:28:03): 目前来看，我们主要是马来跟香港的单子陆陆续续开始开单，像香港就是目前我们主打的学生公寓为主。然后有本地人也有广国内过去的人，马来基本当地的人了，马来就是做当地做二房东的。

李磊(00:28:25): 因为那种大客户头部的大企业那种周期会更长。

孙正刚Marc(00:28:31): 香港的学生公寓不就是得跟给平台合作吗？

李磊(00:28:36): 不是香港，因为这两年这个优才高才特别多，这个大学扩招，所以他大学学校不够用，公寓不够用，他就把公寓在外边很多民企开始做学生公寓。有专门定向租给学生的。

孙正刚Marc(00:28:54): 明白，你们这边的学生公寓是做学生公寓了。

李磊(00:29:01): 对他白了白领公寓，然后只是给学生住。

孙正刚Marc(00:29:05): 那这算重资产了吧？

李磊(00:29:08): 对这种事不是这种针对重资产，他们有的很重，像华润还有当地企业，他们直接买楼，或者把很多物业直接改自己的自持物业去做，还有一部分是二房东。当然港府也会有，就是香港政府本身也会有一些物业，然后他会对外出租，然后有些人通过关系或者通过各种的事事情把物业拿出来，然后自己做改造。

孙正刚Marc(00:29:33): 澳洲的学生公寓一直蛮火的。但是跟香港体量比起来还差一点。

李磊(00:29:36): 香港最近开始火起来了，因为人多。

孙正刚Marc(00:29:45): 对香港我们也输送了很多人去香港，但是对他高才优才的续签率挺低的。

孙正刚Marc(00:29:57): 你这个提议倒挺好，我把学生公寓相关的一些可能潜在的合作背景也找一找看。

孙正刚Marc(00:30:07): 那还有什么分享一下，就是一些成功的案例，我就不是案例，就是大概的一些，还有什么业务，就是在东南亚那边，我也这边可以集思广益一下。

李磊(00:30:17): 我们其实就是软软件加硬件，软件就是指是对工具的管理系统，当然这次其实我们更多带的是偏向于结合很多 AI 的管理系统，就是用用 AI 驱动的一些管理系统，那第二部分就是硬件智能硬件。

孙正刚Marc(00:30:20): 人在家用。

李磊(00:30:32): 那包括智能门锁，智能水表，智能电表，因为这个其实很多公寓便捷管理的一个一个一个配置吧，这个东西我觉得在东南亚反而是有市场的。

孙正刚Marc(00:30:46): 其实澳洲也有市场，只不过澳洲的法律有对于更换电电子门锁上不太支持，导致大家可能做不起来。我看很多国内的这些智能门锁都在考虑澳洲市场进展的比较缓慢。

李磊(00:31:04): 听明白。

孙正刚Marc(00:31:04): 现在一般都是给开发商从建房的时候就把智能门锁作为他们的一个亮点给推出来了，对你要是中途给他换更换上去就有点麻烦的。

李磊(00:31:11): 明白。明白明白。

孙正刚Marc(00:31:18): 所以咱们的整个细分市场是比较多，但是也比较杂，咱们的竞争性，就得看咱们的亮点。

李磊(00:31:28): 对所有的例子，对当地我觉得就先不管我们有什么对我们有的可能就是我们的对于租赁业务运营本身的一些特有的积累，更多的第二个是我们的一些对于软件对于科技的一些，无论是对于传统软件，还是对于新软件 AI 下的一些技术积累，那更多还是因当地要因地制宜，当地看需要什么，那我们可能带着我们的一些预判去，然后到那去验证，去寻找新的机会点。

李磊(00:31:59): 也有东西能用就用，不能用就重新做。

孙正刚Marc(00:32:00): 一濛你这边还有什么需要我注意的，因为今天晚上的我觉得最最重要的事情就是把时间，地点，人物，然后确定下来。现在的话。

赵一濛(千丈松)(00:32:12): 那你说。

孙正刚Marc(00:32:15): 现在的话感就是我现在只要能把时基本上主要的任务问题已经解决了，就是刚才说的时间，地点，人物，那剩下的就是我去把按照这个周期去做一些落地。

李磊(00:32:27): 不知道我要打电话。

赵一濛(千丈松)(00:32:31): 然后我想咨询一下这件事情，马克包括那个雷哥就是有没有我，这两天给你个账号，你也都试试，然后我在想就是我们要不要做一些就直接路演了，因为交流嘛，交流的时候，本来就是那个什么的一个过程。

赵一濛(千丈松)(00:32:47): 一个是营销，一个是作业工具有做了一些简单的 demo，然后我们自己也用了一些，反正效果还行，你可以给些意见，这样去之前还有一段时间，我们针对本地市场，如果能来做一些调整也 OK 的。

孙正刚Marc(00:33:05): 好，我觉得这个挺好的，咱们先提前体验一下，然后了解一下，然后我再我比如说我用过之后我再去找澳洲的类似的去试试看，我提前先感受一下。

赵一濛(千丈松)(00:33:32): 那就记个 to do 吧，然后明今天我往群里发几个账号，然后那个雷总方便的时候也可以给那个马克提体验。

李磊(00:33:38): 没问题，我晚点明天他们发出来。

孙正刚Marc(00:33:47): 可以反正大家还有什么问题吗？有什么问题咱们现在就想出来的，咱们就说想不出来的话，咱们在群里面你一言我一句的短着往上补！

赵一濛(千丈松)(00:33:56): 对我觉得没问题，今天就是像你说的把时间，地点大体给定好了之后，我们这个东西肯定是一个渐进式的，你看 AI 渐进式披露，就是有这两天有些事就密集的在群里讨论吧。

孙正刚Marc(00:34:05): 对。行，那就辛苦大家了，今晚上反正就咱们总算抽时间把这个会给完了，剩下的就是慢慢的往上补吧！

李磊(00:34:16): 对。行，那这么着谢谢谢，主要是谢谢马克！

孙正刚Marc(00:34:20): 走走没有我这边也是希望咱们把事定下来，然后我这边就可以放心大胆去推了，否则我这边是真的也压力很大。

李磊(00:34:33): 那行，那咱就这么着。

孙正刚Marc(00:34:35): 行大家各就各位！周末愉快！好拜拜。
